model,MAE_test,RMSE_test,R2_test,MAE_train,RMSE_train,R2_train,MAE_boot_mean,MAE_boot_2.5pct,MAE_boot_97.5pct
DummyMean,0.1577565332244009,0.19704140923139823,-0.009523545731874528,0.1524329583333333,0.18593802196477208,0.0,0.15294641439153894,0.13454586044973546,0.17322823435386472
LinearRegression,0.10414828518235704,0.13262099695002375,0.542673866436256,0.08187969010243773,0.0984178660096425,0.7198365512110285,0.09124308790773497,0.07840986244333863,0.10310453545576391
PolyDeg2_Ridge,0.15665103951619813,0.2112272066460032,-0.16011530011406472,0.05097197713015396,0.06555094248097573,0.8757142127818729,0.21020592046893416,0.1650401099667775,0.2722226089596181
