,sr,as1,as2,as3,as4,as5,qz1,qz2,qz3,qz4,qz5,qz6,qz7,s_i,s_ii,final
81,20,0.8875,0.83,0.9416666666666667,1.0,0.95,0.7,0.45,0.4,0.5,0.9,0.5,0.3333333333333333,0.612,0.26999999999999996,0.3545
82,21,0.6625,0.87,0.8,0.0,0.0,0.75,0.35,0.55,0.2,0.6,0.3,0.3333333333333333,0.4746666666666667,0.3393333333333333,0.359
83,22,0.79375,0.0,0.8083333333333333,0.95,0.9625,0.0,0.7,0.8,0.6,1.0,0.5,0.5833333333333334,0.4246666666666667,0.35,0.384
84,23,0.7625,0.65,0.675,0.0,0.8625,0.65,0.85,0.3,0.6,0.4,0.5,0.5,0.362,0.04,0.175
85,24,0.86875,0.825,0.75,0.9666666666666667,0.95,0.7,0.1,0.9,0.6,0.9,0.7,0.5,0.45,0.49,0.46349999999999997
86,25,0.76875,0.515,0.5833333333333334,0.0,0.6875,0.7,0.25,0.4,0.6,0.9,1.0,0.3333333333333333,0.412,0.3253333333333333,0.3545
87,26,0.6375,0.8,0.9666666666666667,0.85,0.925,0.75,0.25,0.6,0.6,0.8,0.7,0.4166666666666667,0.6873333333333334,0.26999999999999996,0.34525
88,27,0.875,0.795,0.8416666666666667,0.9666666666666667,0.725,0.9,0.95,0.8,0.85,0.8,0.7,0.7083333333333334,0.6873333333333334,0.59,0.45899999999999996
89,28,0.81875,0.0,0.6333333333333333,0.6666666666666666,0.65,1.0,0.5,0.8,0.4,0.3,0.0,0.4583333333333333,0.25,0.09000000000000001,0.159
91,30,0.74375,0.535,0.725,0.7666666666666667,0.9375,0.7,0.25,0.35,0.6,0.4,0.2,0.2916666666666667,0.512,0.478,0.46125
92,31,0.58125,0.0,0.7333333333333333,0.7666666666666667,0.7,0.9,0.3333333333333333,0.15,0.5,1.0,0.8,0.3333333333333333,0.4873333333333333,0.5700000000000001,0.34525
93,32,0.80625,0.36,0.4166666666666667,0.3,0.2625,0.3,0.45,0.5,0.6,0.8,0.5,0.2916666666666667,0.23733333333333334,0.060000000000000005,0.225
94,33,0.85625,0.775,0.5833333333333334,0.7666666666666667,0.4625,0.75,0.8,0.45,0.6,0.4,0.5,0.08333333333333333,0.5246666666666667,0.31,0.259
95,34,0.8625,0.87,0.875,0.0,0.8375,1.0,0.95,0.3,0.4,0.5,0.5,0.875,0.8119999999999999,0.49,0.3295
96,35,0.89375,0.38,0.6583333333333333,0.6833333333333333,0.725,0.65,0.25,0.45,0.4,0.4,0.5,0.5,0.32466666666666666,0.22,0.1545
97,36,0.9,0.82,0.8416666666666667,0.0,0.6875,0.7,0.0,0.9,0.8,0.7,0.7,0.2916666666666667,0.5619999999999999,0.33,0.30674999999999997
98,37,0.8125,0.715,0.925,0.8,0.725,0.7,0.25,0.45,0.4,0.8,0.2,0.5,0.37466666666666665,0.030000000000000002,0.15
99,38,0.6303846153846153,0.25,0.45,0.23333333333333334,0.0,0.1,0.05,0.2,0.3,0.2,0.5,0.5,0.12466666666666668,0.030000000000000002,0.10900000000000001
100,39,0.85625,0.86,0.65,0.9,0.9125,0.0,0.0,0.55,0.85,0.7,0.4,0.2916666666666667,0.37466666666666665,0.516,0.37725
101,40,0.7625,0.63,0.6666666666666666,0.0,0.7875,0.7,0.65,0.25,0.3,0.5,0.5,0.4583333333333333,0.55,0.324,0.26125
102,41,0.84375,0.86,0.825,0.8833333333333333,0.875,0.7,0.45,0.35,0.7,0.7,0.5,0.5,0.45,0.25,0.33849999999999997
103,42,0.8,0.82,0.8833333333333333,0.85,0.9125,0.85,0.7,0.55,0.85,0.5,0.7,0.20833333333333334,0.5619999999999999,0.26,0.3135
104,43,0.55,0.785,0.8416666666666667,0.0,0.0,0.4,0.25,0.4,0.4,0.7,0.8,0.5,0.45,0.09000000000000001,0.2045
105,44,0.55625,0.83,0.7583333333333333,0.0,0.8125,0.7,0.25,0.8,0.4,0.6,0.5,0.041666666666666664,0.2,0.09000000000000001,0.09525
106,1,0.86875,0.0,0.8541666666666666,0.725,0.80625,0.15,0.85,0.4,0.65,0.4,0.45,0.3333333333333333,0.4746666666666667,0.206,0.33175
107,2,0.9875,0.9,0.9666666666666667,0.8666666666666667,0.0,0.8,0.95,0.9,0.95,0.45,0.8,0.5,0.7246666666666666,0.7200000000000001,0.518
108,3,0.425,0.79,0.0,0.7333333333333333,0.63125,0.8,0.4,0.4,0.4,0.6,0.75,0.375,0.35,0.18000000000000002,0.3225
109,4,0.975,0.805,0.7125,0.725,0.7625,0.05,0.95,0.65,0.65,0.45,0.4,0.9166666666666666,0.6746666666666666,0.73,0.4385
110,5,0.9,0.775,0.8125,0.7,0.8,0.0,0.45,0.65,0.6,0.2,0.1,0.625,0.23733333333333334,0.64,0.4225
111,6,0.9,0.68,0.8625,0.725,0.95625,0.2,0.45,1.0,0.45,0.4,0.7,0.0,0.312,0.23,0.16575
112,7,0.95,0.67,0.6083333333333333,0.7,0.9125,0.35,0.45,0.75,0.0,0.8,0.95,0.9583333333333334,0.7373333333333334,0.8,0.575
113,8,0.3875,0.74,0.7458333333333333,0.23333333333333334,0.6625,0.15,0.0,0.3,0.25,0.45,0.8,0.2916666666666667,0.25,0.3393333333333333,0.2045
114,9,0.875,0.56,0.0,0.21333333333333335,0.95,0.2,0.7,0.7,0.9,0.95,0.85,0.16666666666666666,0.512,0.6293333333333333,0.4795
115,10,0.425,0.895,0.4791666666666667,0.0,0.90625,0.75,0.75,0.7,0.2,0.65,0.65,0.375,0.8873333333333334,0.73,0.3725
116,11,0.8,0.665,0.8791666666666667,0.48333333333333334,0.0,0.05,0.95,0.4375,0.05,0.5,0.85,0.4166666666666667,0.3,0.4,0.5
117,12,0.4625,0.83,0.8166666666666667,0.925,0.98125,0.95,0.35,0.85,0.55,0.45,0.9,0.75,0.65,0.7100000000000001,0.525
118,13,0.775,0.805,0.7291666666666666,0.875,0.86875,0.35,0.5,0.65,0.6,0.4,0.2,0.4166666666666667,0.45,0.502,0.45675
119,14,0.775,0.66,0.6833333333333333,0.0,0.60625,0.15,0.35,0.9,0.5,0.0,0.15,0.0,0.15,0.060000000000000005,0.12250000000000001
120,15,0.8875,0.0,0.7541666666666667,0.725,0.725,0.5,0.8,0.85,0.4,0.4,0.5,0.5,0.45,0.166,0.059
121,16,0.85,0.68,0.0,0.455,0.89375,0.45,1.0,0.9,0.95,0.05,0.4,0.08333333333333333,0.5,0.5346666666666666,0.4135
122,17,0.825,0.77,0.9375,0.95,0.8625,0.5,0.7,0.55,0.9,0.1,0.7,0.5416666666666666,0.28733333333333333,0.402,0.50675
123,18,0.81875,0.31,0.8541666666666666,0.19833333333333333,0.4125,0.1,0.95,0.75,0.4,0.5,1.0,0.4166666666666667,0.762,0.35200000000000004,0.31575000000000003
124,19,0.4625,0.595,0.7125,0.9416666666666667,0.0,0.15,0.7,0.55,0.05,0.45,0.2,0.5,0.3873333333333333,0.26,0.3225
125,20,0.8875,0.975,0.8833333333333333,0.7666666666666667,0.9375,0.55,0.9,0.85,0.95,0.9,0.5,0.8333333333333334,0.65,0.8,0.63175
126,21,0.89375,0.96,0.7833333333333333,0.875,0.0,0.4,0.95,0.65,0.6,0.6,0.85,0.5833333333333334,0.6873333333333334,0.7899999999999999,0.5045
127,22,0.74375,0.525,0.4083333333333333,0.725,0.5,0.5,0.1,0.55,0.75,0.3,0.2,0.5,0.2,0.1,0.18625
128,23,0.65625,0.87,0.7333333333333333,0.925,0.0,0.15,0.7,0.65,0.15,0.25,0.8,0.5416666666666666,0.262,0.38,0.32725
129,24,0.39375,0.76,0.0,0.7833333333333333,0.625,0.7,1.0,0.65,0.75,0.4,0.1,0.7916666666666666,0.6373333333333334,0.572,0.44075
130,25,0.4125,0.795,0.0,0.6166666666666667,0.925,0.5,0.65,0.85,0.8,0.3,0.6,0.4583333333333333,0.6246666666666666,0.612,0.38625
131,26,0.925,0.74,0.8833333333333333,0.33249999999999996,0.725,0.5,1.0,0.85,0.9,0.55,0.75,0.5416666666666666,0.662,0.56,0.35225
132,27,0.7875,0.72,0.9458333333333333,0.75,0.8,0.6,0.8,0.65,0.5,0.45,0.9,0.7083333333333334,0.6,0.3393333333333333,0.4885
133,28,0.75625,0.54,0.65,0.0,0.5875,0.3,0.0,0.6,0.2,0.3,0.25,0.5833333333333334,0.28733333333333333,0.20199999999999999,0.31124999999999997
134,29,0.3625,0.47,0.5891666666666667,0.6166666666666667,0.81875,0.2,0.0,0.75,0.1,0.5,0.7,0.3333333333333333,0.22466666666666668,0.168,0.13625
135,30,0.875,0.79,0.7,0.7083333333333334,0.86875,0.35,0.9,0.5,0.7,0.65,0.6,0.5833333333333334,0.4746666666666667,0.20199999999999999,0.52725
136,31,0.76875,0.0,0.8458333333333333,0.5833333333333334,0.8125,0.25,0.3,0.3,0.85,0.65,0.1,0.375,0.4746666666666667,0.43,0.40449999999999997
137,32,0.7875,0.475,0.65,0.2125,0.5375,0.1,0.45,0.4,0.9,0.45,0.85,0.5,0.5873333333333334,0.25,0.17024999999999998
138,33,0.86875,0.485,0.0,0.5833333333333334,0.475,0.15,0.0,0.55,0.3,0.35,0.65,0.3333333333333333,0.22466666666666668,0.08,0.10900000000000001
139,34,0.96875,0.69,0.9041666666666667,0.675,0.81875,0.15,0.35,0.85,0.3,0.45,0.4,0.4166666666666667,0.22466666666666668,0.362,0.2475
140,35,0.43125,0.835,0.8125,0.0,0.675,0.7,1.0,0.75,0.95,1.0,0.9,0.9166666666666666,0.8746666666666666,0.88,0.743
141,36,0.44375,0.0,0.6,0.0,0.6375,0.5,0.0,0.45,0.2,0.5,0.55,0.5,0.32466666666666666,0.16933333333333334,0.19524999999999998
142,37,0.8,0.0,0.625,0.48333333333333334,0.5875,0.45,1.0,0.4,0.3,0.15,0.6,0.5,0.3,0.1,0.27025
143,38,0.94375,0.55,0.5708333333333333,0.7,0.9,0.35,1.0,0.9,0.9,0.55,0.5,0.25,0.5373333333333333,0.456,0.425
144,39,0.425,0.535,0.875,0.0,0.875,0.1,0.75,0.25,0.35,0.75,0.5,0.5,0.35,0.25,0.1885
145,40,0.81875,0.67,0.7541666666666667,0.0,0.0,0.2,0.25,0.85,0.25,0.3,0.05,0.5,0.12466666666666668,0.08,0.10900000000000001
146,41,0.8375,0.91,0.975,0.825,0.9375,0.1,1.0,0.85,0.8,0.45,0.75,0.2916666666666667,0.6746666666666666,0.6513333333333333,0.5
147,42,0.75,0.67,0.5625,0.49166666666666664,0.58125,0.35,0.65,0.55,0.75,0.05,0.1,0.375,0.412,0.48200000000000004,0.22725
148,43,0.7,0.685,0.48333333333333334,0.0,0.375,0.15,0.25,0.45,0.35,0.15,0.05,0.3333333333333333,0.22466666666666668,0.116,0.3295
149,44,0.41875,0.895,0.9166666666666666,0.9,0.8375,0.15,0.0,0.55,0.6,0.2,0.1,0.3333333333333333,0.662,0.504,0.38175
150,45,0.75,0.83,0.0,0.65,0.9125,0.1,0.0,0.7,0.55,0.0,0.05,0.5,0.362,0.33,0.22949999999999998
151,46,0.65,0.82,0.8666666666666667,0.9166666666666666,0.79375,0.5,0.5,0.85,0.45,0.25,0.4,0.20833333333333334,0.4,0.266,0.4135
152,1,0.265,0.8166666666666667,0.8,0.7,0.725,0.05,0.0,0.5625,0.2,0.6,0.7,0.5,0.48333333333333334,0.4633333333333333,0.6997777777777777
153,2,0.34,0.0,0.86,0.8,0.725,0.6,0.0,0.1875,0.2,0.0,0.5,0.5,0.35,0.3266666666666667,0.38111111111111107
154,3,0.685,0.0,0.87,0.925,0.725,0.35,0.2,0.3125,0.7,0.9,0.9,0.5,0.37466666666666665,0.6633333333333333,0.7822222222222223
155,4,0.33,0.8166666666666667,0.53,0.8625,0.725,0.5,0.3,0.0,0.6,0.5,0.6,0.5,0.4166666666666667,0.46266666666666667,0.5631111111111111
156,5,0.35,0.0,0.7295833333333333,0.4875,0.725,0.15,0.6,0.375,0.6,0.4,0.5,0.5,0.6333333333333333,0.554,0.6564444444444444
157,6,0.405,0.75,0.76,0.6625,0.725,0.05,0.45,0.375,0.5,0.4,0.3,0.5,0.38333333333333336,0.39066666666666666,0.6873333333333334
158,7,0.0,0.725,0.63,0.8,0.725,0.1,0.5,0.375,0.6,0.6,0.8,0.5,0.3333333333333333,0.48133333333333334,0.6682222222222223
159,8,0.6303846153846153,0.775,0.89,0.725,0.725,0.65,0.6,0.0,0.4,0.65,0.7,0.5,0.9333333333333333,0.7086666666666667,0.682
160,9,0.4165,0.875,0.88,0.75,0.725,0.9,0.5,0.375,0.3,0.4,0.5,0.5,0.5333333333333333,0.7266666666666667,0.564
161,10,0.89,0.7833333333333333,0.87,0.9125,0.725,0.6,0.2,0.0,0.1,0.8,0.9,0.5,0.5833333333333334,0.818,0.8137777777777777
162,11,0.35,0.0,0.39,0.3125,0.725,0.3,0.2,0.25,0.1,0.4,0.65,0.5,0.35,0.5173333333333333,0.5591111111111111
163,12,0.375,0.7666666666666667,0.78,0.5875,0.725,0.35,0.5,0.4375,0.0,0.6,0.8,0.5,0.5666666666666667,0.5446666666666666,0.5728888888888889
164,13,0.825,0.9166666666666666,0.86,0.875,0.725,0.35,0.6,0.5,0.5,0.7,0.4,0.5,0.5,0.7086666666666667,0.6357777777777778
