model,MAE_test,RMSE_test,R2_test,MAE_train,RMSE_train,R2_train,MAE_boot_mean,MAE_boot_2.5pct,MAE_boot_97.5pct
DummyMean,0.16287679738562094,0.21162330588702505,-0.002534753512730248,0.18687573333333332,0.2187533352380662,0.0,0.18758931459759798,0.16557840719849584,0.20877575778050778
LinearRegression,0.12962091539361661,0.16554257838437675,0.38653205035565064,0.12002140420820986,0.15065217000739545,0.525712786106527,0.1334867824062738,0.11246486750568944,0.15282029355137944
PolyDeg2_Ridge,0.19814456024876223,0.25171142454308115,-0.41833331068463764,0.08076430850861283,0.10336929515101262,0.7767077019301539,0.2865000702945373,0.21703382110286978,0.37762060008315523
