model,MAE_test,RMSE_test,R2_test,MAE_train,RMSE_train,R2_train,MAE_boot_mean,MAE_boot_2.5pct,MAE_boot_97.5pct
DummyMean,0.14540555555555557,0.18791904640668153,-0.004611171938574188,0.13653666666666667,0.16672185482946672,0.0,0.1369867057155725,0.11969336009389671,0.15491438773987207
LinearRegression,0.11644342819985527,0.14251863507880638,0.4221704970440079,0.10851439588154492,0.13185767974631626,0.3745021919909406,0.11836516886525886,0.10241941666693735,0.13475729456286575
PolyDeg2_Ridge,0.1449233700092899,0.19487073271059224,-0.0803130934220293,0.07990803042607832,0.10121700103567426,0.6314284031324408,0.22183027480713866,0.1718893535585111,0.29155965900509856
